"white","W8","dep_soc","dep_soc2","dep_pol","dep_power","dep_econ","wpb2a_UK","wpb3d_UK","vote_campaign","right_wing","age","college","female","own_home","married","soc","soc30","power","power30","pol","pol30","econ","econ30"
1,0.898370093758196,-1,0,2,NA,-1,98,1,1,1,2,1,1,NA,1,3,4,1,NA,3,1,4,5
1,1.22178656013506,0,0,-5,-2,NA,1,2,1,1,2,0,0,NA,0,3,3,3,5,1,6,1,NA
1,1.70809881670011,1,0,-5,0,0,2,1,1,1,2,0,1,NA,0,4,3,0,0,0,5,0,0
1,0.778897953490895,-1,-1,-1,-1,-1,2,1,1,1,2,1,0,NA,0,3,4,7,8,6,7,7,8
1,1.42321050374532,1,1,2,1,1,2,4,1,1,1,0,0,NA,0,3,2,6,5,9,7,5,4
1,0.774890577845705,-1,-1,-2,2,1,98,1,1,1,2,0,0,NA,0,2,3,7,5,4,6,3,2
1,1.55103609071647,0,1,-1,1,-1,2,1,1,0,1,0,1,NA,0,2,2,3,2,5,6,6,7
1,1.40013967113459,-2,-2,-1,-4,0,1,1,1,1,2,1,1,NA,0,2,4,2,6,4,5,5,5
1,0.791637723238619,NA,NA,-2,-2,-1,1,1,1,1,2,1,1,NA,0,3,NA,6,8,5,7,5,6
1,1.56217335895709,NA,NA,2,2,2,2,1,1,1,1,0,0,NA,0,3,NA,7,5,7,5,6,4
1,0.852196769896322,NA,NA,-10,-6,-1,4,11,0,0,2,1,0,NA,0,2,NA,1,7,0,10,6,7
1,1.3710429035481,0,0,NA,NA,NA,2,99,0,0,1,1,1,NA,0,3,3,NA,NA,NA,NA,NA,NA
1,1.34353636923762,NA,NA,NA,-3,NA,1,1,1,1,2,0,1,NA,1,1,NA,2,5,2,NA,2,NA
1,1.55604103868117,0,0,-1,0,-1,1,1,1,1,1,0,0,NA,0,1,1,3,3,1,2,3,4
1,0.789692442096219,-1,-1,0,0,NA,1,1,1,0,2,0,1,NA,0,1,2,1,1,0,0,2,NA
1,1.4474688809912,NA,NA,1,1,0,4,10,0,2,2,1,1,NA,0,2,NA,4,3,7,6,4,4
1,0.879365018412286,NA,NA,-3,-2,NA,7,3,1,1,2,1,0,1,1,4,NA,5,7,4,7,5,NA
